,Name,Name_tag,ID,Position
470,Ivan Sunjic,ivan-sunjic,226097,Defensive Midfield
471,Patrik Hrosovsky,patrik-hrosovsky,217879,Central Midfield
472,Irfan Can Kahveci,irfan-can-kahveci,216603,Central Midfield
473,Igor Coronado,igor-coronado,215915,Attacking Midfield
474,Jorrit Hendrix,jorrit-hendrix,205004,Defensive Midfield
475,Viktor Kovalenko,viktor-kovalenko,203842,Attacking Midfield
476,Jean-Paul Boëtius,jean-paul-boetius,182574,Attacking Midfield
477,John Lundstram,john-lundstram,156941,Central Midfield
478,Jonathan Viera,jonathan-viera,153238,Attacking Midfield
479,Nathaniel Chalobah,nathaniel-chalobah,128900,Defensive Midfield
480,Robbie Brady,robbie-brady,128229,Left Midfield
481,Sofiane Hanni,sofiane-hanni,113358,Attacking Midfield
482,Lucas Castro,lucas-castro,105892,Central Midfield
483,Ryad Boudebouz,ryad-boudebouz,77826,Attacking Midfield
484,Danny Drinkwater,danny-drinkwater,73491,Central Midfield
485,Tom Cleverley,tom-cleverley,73484,Central Midfield
486,Arijan Ademi,arijan-ademi,71542,Defensive Midfield
487,Borja García,borja-garcia,67808,Attacking Midfield
488,Leroy Fer,leroy-fer,63342,Central Midfield
489,Oleg Shatov,oleg-shatov,59187,Left Midfield
490,John Fleck,john-fleck,54383,Central Midfield
491,Ramires,ramires,54170,Central Midfield
492,Dale Stephens,dale-stephens,49755,Central Midfield
493,Ruud Vormer,ruud-vormer,45864,Central Midfield
494,James McArthur,james-mcarthur,41416,Central Midfield
495,Marko Marin,marko-marin,35251,Attacking Midfield
496,Mark Noble,mark-noble,31835,Central Midfield
497,Hatem Ben Arfa,hatem-ben-arfa,18900,Attacking Midfield
498,Enzo Loiodice,enzo-loiodice,581781,Central Midfield
499,Yacine Adli,yacine-adli,395236,Attacking Midfield
