,Name,Name_tag,ID,Position
414,Simon Kjaer,simon-kjaer,48859,Centre-Back
415,Rayan Aït Nouri,rayan-ait-nouri,578391,Left-Back
416,Emerson,emerson,476344,Right-Back
417,Bafodé Diakité,bafode-diakite,463605,Centre-Back
418,Joe Worrall,joe-worrall,415970,Centre-Back
419,Bruno Viana,bruno-viana,411838,Centre-Back
420,Vitalii Mykolenko,vitalii-mykolenko,404842,Left-Back
421,Pau Torres,pau-torres,399776,Centre-Back
422,Joris Gnagnon,joris-gnagnon,378954,Centre-Back
423,Thierry Correia,thierry-correia,367466,Right-Back
424,Bernardo,bernardo,364258,Left-Back
425,Pape Abou Cissé,pape-abou-cisse,364234,Centre-Back
426,Léo Santos,leo-santos,351894,Centre-Back
427,Bruno Valdez,bruno-valdez,335768,Centre-Back
428,Jorge Figal,jorge-figal,334055,Centre-Back
429,Hamari Traoré,hamari-traore,297070,Right-Back
430,Kevin Rüegg,kevin-ruegg,290032,Right-Back
431,Jérémy Gelin,jeremy-gelin,288237,Centre-Back
432,Fabricio Bustos,fabricio-bustos,275381,Right-Back
433,Paulo Díaz,paulo-diaz,271478,Centre-Back
434,Jemerson,jemerson,258254,Centre-Back
435,Rúben Vezo,ruben-vezo,257851,Centre-Back
436,Amir Rrahmani,amir-rrahmani,257732,Centre-Back
437,Filippo Romagna,filippo-romagna,256678,Centre-Back
438,Brandon Mechele,brandon-mechele,236168,Centre-Back
439,Ridgeciano Haps,ridgeciano-haps,228444,Left-Back
440,Thomas Foket,thomas-foket,215114,Right-Back
441,Christopher Jullien,christopher-jullien,201737,Centre-Back
442,Joe Bryan,joe-bryan,194460,Left-Back
443,Bouna Sarr,bouna-sarr,190685,Right-Back
444,Stefano Denswil,stefano-denswil,182923,Centre-Back
445,Rodrigo Caio,rodrigo-caio,172054,Centre-Back
446,Vyacheslav Karavaev,vyacheslav-karavaev,170620,Right-Back
447,Vitor Hugo,vitor-hugo,149752,Centre-Back
448,Tomas Kalas,tomas-kalas,148657,Centre-Back
449,Wálter Kannemann,walter-kannemann,145400,Centre-Back
450,Paulo Oliveira,paulo-oliveira,139336,Centre-Back
451,Florian Lejeune,florian-lejeune,127108,Centre-Back
452,Pontus Jansson,pontus-jansson,125314,Centre-Back
453,Vlad Chiriches,vlad-chiriches,123261,Centre-Back
454,Konstantinos Laifis,konstantinos-laifis,121570,Centre-Back
455,Craig Dawson,craig-dawson,121477,Centre-Back
456,Omar Elabdellaoui,omar-elabdellaoui,121404,Right-Back
457,Ahmed Hegazy,ahmed-hegazy,111524,Centre-Back
458,Ciaran Clark,ciaran-clark,98240,Centre-Back
459,Óscar de Marcos,oscar-de-marcos,96718,Right-Back
460,Enda Stevens,enda-stevens,85706,Left-Back
461,Maicon,maicon,84695,Centre-Back
462,Timothée Kolodziejczak,timothee-kolodziejczak,84085,Centre-Back
463,Kiko Femenía,kiko-femenia,76467,Right-Back
464,Liam Cooper,liam-cooper,75067,Centre-Back
465,Pedro Mendes,pedro-mendes,72857,Centre-Back
466,Lisandro Magallán,lisandro-magallan,66736,Centre-Back
467,Bernardo Espinosa,bernardo-espinosa,64598,Centre-Back
468,James Tavernier,james-tavernier,62094,Right-Back
469,Dimitrios Siovas,dimitrios-siovas,52403,Centre-Back
470,Héctor Moreno,hector-moreno,51046,Centre-Back
471,Kieran Gibbs,kieran-gibbs,44792,Left-Back
472,Thiago Silva,thiago-silva,29241,Centre-Back
473,Sergiño Dest,sergino-dest,361104,Right-Back
474,Clinton Mata,clinton-mata,187718,Right-Back
475,Marcelo Herrera,marcelo-herrera,621369,Right-Back
476,Iago,iago,520468,Left-Back
477,Alan Franco,alan-franco,503343,Centre-Back
478,Facundo Medina,facundo-medina,474800,Left-Back
479,Dylan Bronn,dylan-bronn,450417,Centre-Back
480,Sofiane Alakouch,sofiane-alakouch,434358,Right-Back
481,Brian Cufré,brian-cufre,401521,Left-Back
482,Andreaw Gravillon,andreaw-gravillon,395083,Centre-Back
483,César Montes,cesar-montes,387687,Centre-Back
