Name,Name_tag,ID,Position
Jonathan Calleri,jonathan-calleri,284727,Centre-Forward
Ricardo Horta,ricardo-horta,261927,Left Winger
Dawid Kownacki,dawid-kownacki,208167,Centre-Forward
Djaniny,djaniny,197170,Centre-Forward
Vincenzo Grifo,vincenzo-grifo,185077,Left Winger
Gonçalo Paciência,goncalo-paciencia,181547,Centre-Forward
Dyego Sousa,dyego-sousa,157036,Centre-Forward
Zé Luís,ze-luis,134602,Centre-Forward
Mark Uth,mark-uth,112935,Centre-Forward
Simone Zaza,simone-zaza,96828,Centre-Forward
Olivier Giroud,olivier-giroud,82442,Centre-Forward
Danny Welbeck,danny-welbeck,67063,Centre-Forward
Gervinho,gervinho,33481,Left Winger
Kévin Gameiro,kevin-gameiro,27389,Centre-Forward
Odion Ighalo,odion-ighalo,62121,Centre-Forward
Nikola Kalinic,nikola-kalinic,36371,Centre-Forward
Kaio Jorge,kaio-jorge,620477,Centre-Forward
Nicólas González,nicolas-gonzalez,486031,Centre-Forward
Léo Jabá,leo-jaba,468260,Right Winger
Adama Diakhaby,adama-diakhaby,453594,Left Winger
Myziane Maolida,myziane-maolida,371142,Centre-Forward
Timothy Weah,timothy-weah,370846,Centre-Forward
Alexander Isak,alexander-isak,349066,Centre-Forward
Noah Okafor,noah-okafor,346890,Left Winger
Eddie Nketiah,eddie-nketiah,340324,Centre-Forward
Luan,luan,313106,Second Striker
Saïd Benrahma,said-benrahma,290532,Right Winger
Ignacio Pussetto,ignacio-pussetto,283528,Right Winger
Bruno Petkovic,bruno-petkovic,256358,Centre-Forward
Vedat Muriqi,vedat-muriqi,256267,Centre-Forward
Pione Sisto,pione-sisto,252641,Left Winger
Antonio Sanabria,antonio-sanabria,234523,Centre-Forward
Omar Al-Somah,omar-al-somah,220688,Centre-Forward
Alireza Jahanbakhsh,alireza-jahanbakhsh,213268,Right Winger
Baghdad Bounedjah,baghdad-bounedjah,209992,Centre-Forward
Vincent Janssen,vincent-janssen,207015,Centre-Forward
Robin Quaison,robin-quaison,206542,Second Striker
Flavien Tait,flavien-tait,202278,Left Winger
Marius Wolf,marius-wolf,193900,Right Winger
Stéphane Bahoken,stephane-bahoken,170953,Centre-Forward
Tom Ince,tom-ince,157368,Right Winger
Anthony Knockaert,anthony-knockaert,149237,Right Winger
José Izquierdo,jose-izquierdo,147094,Left Winger
Gianluca Caprari,gianluca-caprari,146752,Second Striker
Juanmi,juanmi,126737,Right Winger
Benik Afobe,benik-afobe,110858,Centre-Forward
Jordan Ayew,jordan-ayew,108354,Centre-Forward
Eduardo Salvio,eduardo-salvio,84535,Right Winger
Niclas Füllkrug,niclas-fullkrug,75489,Centre-Forward
Troy Deeney,troy-deeney,65477,Centre-Forward
Sofiane Feghouli,sofiane-feghouli,57162,Right Winger
Diego Perotti,diego-perotti,54984,Left Winger
Nils Petersen,nils-petersen,42936,Centre-Forward
Falcao,falcao,39152,Centre-Forward
Max Gradel,max-gradel,28140,Left Winger
Adam Hlozek,adam-hlozek,552057,Second Striker
Hassane Bandé,hassane-bande,504259,Left Winger
Karim Adeyemi,karim-adeyemi,496094,Centre-Forward
Nahuel Bustos,nahuel-bustos,439629,Right Winger
Andreas Skov Olsen,andreas-skov-olsen,432982,Right Winger
Myron Boadu,myron-boadu,412932,Centre-Forward
Alexis Claude-Maurice,alexis-claude-maurice,384593,Left Winger
Odsonne Edouard,odsonne-edouard,344152,Centre-Forward
Oliver Burke,oliver-burke,341317,Right Winger
Alfredo Morelos,alfredo-morelos,338962,Centre-Forward
Orbelín Pineda,orbelin-pineda,334042,Left Winger
Javi Ontiveros,javi-ontiveros,298983,Left Winger
Emiliano Rigoni,emiliano-rigoni,282544,Right Winger
Roger Assalé,roger-assale,263183,Centre-Forward
Jony,jony,228761,Left Winger
Marko Pjaca,marko-pjaca,205940,Left Winger
Guido Carrillo,guido-carrillo,184672,Centre-Forward
Wesley Saïd,wesley-said,182916,Right Winger
Garry Rodrigues,garry-rodrigues,170895,Left Winger
Frank Acheampong,frank-acheampong,157160,Left Winger
Nicolai Jörgensen,nicolai-jorgensen,100399,Centre-Forward
Amin Younes,amin-younes,96167,Left Winger
Nicola Sansone,nicola-sansone,82048,Left Winger
Sergi Enrich,sergi-enrich,81988,Centre-Forward
Gabriel Veron,gabriel-veron,627221,Right Winger
Silas Wamangituka,silas-wamangituka,612826,Centre-Forward
Sebastián Villa,sebastian-villa,493000,Right Winger
Pedro Neto,pedro-neto,487465,Second Striker
Luis Díaz,luis-diaz,480692,Left Winger
Jan Hurtado,jan-hurtado,459115,Centre-Forward
Luiz Araújo,luiz-araujo,435485,Left Winger
Lebo Mothiba,lebo-mothiba,427161,Centre-Forward
Pietro Pellegri,pietro-pellegri,364133,Centre-Forward
Ruben Vargas,ruben-vargas,345886,Left Winger
Tahith Chong,tahith-chong,344830,Right Winger
Linton Maina,linton-maina,335103,Right Winger
Isaac Mbenza,isaac-mbenza,260806,Right Winger
Yoshinori Muto,yoshinori-muto,230541,Centre-Forward
Matheus Pereira,matheus-pereira,225984,Right Winger
Luciano Vietto,luciano-vietto,214316,Centre-Forward
Siebe Schrijvers,siebe-schrijvers,208552,Second Striker
Moussa Konaté,moussa-konate,192774,Centre-Forward
Naïm Sliti,naim-sliti,184491,Left Winger
Callum Robinson,callum-robinson,183299,Left Winger
Kenneth Zohore,kenneth-zohore,135213,Centre-Forward
Rogelio Funes Mori,rogelio-funes-mori,135082,Centre-Forward
André Carrillo,andre-carrillo,135057,Right Winger
Kevin Lasagna,kevin-lasagna,131951,Centre-Forward
Rachid Ghezzal,rachid-ghezzal,118287,Right Winger
Viktor Fischer,viktor-fischer,95755,Left Winger
Francesco Caputo,francesco-caputo,84765,Centre-Forward
Matt Phillips,matt-phillips,77274,Right Winger
Valère Germain,valere-germain,60540,Centre-Forward
Anthony Modeste,anthony-modeste,50512,Centre-Forward
Konstantinos Mitroglou,konstantinos-mitroglou,34944,Centre-Forward
Bruno Henrique,bruno-henrique,353108,Left Winger
Shapi Suleymanov,shapi-suleymanov,335725,Right Winger
Paul Onuachu,paul-onuachu,272855,Centre-Forward
Jhon Córdoba,jhon-cordoba,185245,Centre-Forward
Kemar Roofe,kemar-roofe,141350,Centre-Forward
Raúl Ruidíaz,raul-ruidiaz,129724,Centre-Forward
Khouma Babacar,khouma-babacar,124902,Centre-Forward
Alan,alan,73460,Centre-Forward
Yevhen Konoplianka,yevhen-konoplianka,58949,Left Winger
Matías Pellegrini,matias-pellegrini,606267,Left Winger
Jack Clarke,jack-clarke,559794,Left Winger
Julián Carranza,julian-carranza,491707,Centre-Forward
Jérémy Doku,jeremy-doku,486049,Left Winger
Brian Rodríguez,brian-rodriguez,465818,Left Winger
Jovane Cabral,jovane-cabral,448466,Right Winger
Cody Gakpo,cody-gakpo,434675,Left Winger
Trincão,trincao,412669,Right Winger
Josh Sargent,josh-sargent,393325,Centre-Forward
Lincoln,lincoln,372046,Centre-Forward
Loïs Openda,lois-openda,368887,Centre-Forward
Dusan Vlahovic,dusan-vlahovic,357498,Centre-Forward
Jordan Siebatcheu,jordan-siebatcheu,355369,Centre-Forward
Habib Diallo,habib-diallo,344888,Centre-Forward
Álex Berenguer,alex-berenguer,338425,Left Winger
Chiquinho,chiquinho,334557,Second Striker
Nicolás Fernández,nicolas-fernandez,333921,Centre-Forward
Sebastian Szymanski,sebastian-szymanski,320748,Right Winger
Kevin De Bruyne,kevin-de-bruyne,88755,Attacking Midfield
N'Golo Kanté,ngolo-kante,225083,Central Midfield
Paul Pogba,paul-pogba,122153,Central Midfield
Kai Havertz,kai-havertz,309400,Attacking Midfield
Dele Alli,dele-alli,207929,Attacking Midfield
Saúl Ñíguez,saul-niguez,148928,Central Midfield
Philippe Coutinho,philippe-coutinho,80444,Attacking Midfield
Christian Eriksen,christian-eriksen,69633,Attacking Midfield
Frenkie de Jong,frenkie-de-jong,326330,Central Midfield
Rodri,rodri,357565,Defensive Midfield
Marco Verratti,marco-verratti,102558,Central Midfield
Arthur,arthur,362842,Central Midfield
Sergej Milinkovic-Savic,sergej-milinkovic-savic,266302,Central Midfield
Fabinho,fabinho,225693,Defensive Midfield
Koke,koke,74229,Right Midfield
Thiago,thiago,60444,Central Midfield
Miralem Pjanic,miralem-pjanic,44162,Central Midfield
Tanguy Ndombélé,tanguy-ndombele,450936,Central Midfield
Jorginho,jorginho,102017,Defensive Midfield
Fabián Ruiz,fabian-ruiz,350219,Central Midfield
James Maddison,james-maddison,294057,Attacking Midfield
Bruno Fernandes,bruno-fernandes,240306,Attacking Midfield
Nabil Fekir,nabil-fekir,203496,Attacking Midfield
Marcelo Brozovic,marcelo-brozovic,156617,Defensive Midfield
Isco,isco,85288,Attacking Midfield
Toni Kroos,toni-kroos,31909,Central Midfield
Casemiro,casemiro,16306,Defensive Midfield
Declan Rice,declan-rice,357662,Defensive Midfield
Youri Tielemans,youri-tielemans,249565,Central Midfield
Mattéo Guendouzi,matteo-guendouzi,465830,Central Midfield
Nicolò Zaniolo,nicolo-zaniolo,392085,Attacking Midfield
Carlos Soler,carlos-soler,372246,Right Midfield
Giovani Lo Celso,giovani-lo-celso,348795,Central Midfield
Donny van de Beek,donny-van-de-beek,288255,Attacking Midfield
Thomas,thomas,230784,Defensive Midfield
Rúben Neves,ruben-neves,225161,Defensive Midfield
Leon Goretzka,leon-goretzka,153084,Central Midfield
Allan,allan,126422,Central Midfield
James Rodríguez,james-rodriguez,88103,Attacking Midfield
Sergi Roberto,sergi-roberto,85370,Central Midfield
Sergio Busquets,sergio-busquets,65230,Defensive Midfield
Ilkay Gündogan,ilkay-gundogan,53622,Central Midfield
Georginio Wijnaldum,georginio-wijnaldum,49499,Central Midfield
Marco Reus,marco-reus,35207,Attacking Midfield
Houssem Aouar,houssem-aouar,395693,Central Midfield
Mason Mount,mason-mount,346483,Attacking Midfield
Lucas Torreira,lucas-torreira,318077,Defensive Midfield
Wilfred Ndidi,wilfred-ndidi,274839,Defensive Midfield
Nicolò Barella,nicolo-barella,255942,Central Midfield
Mateo Kovacic,mateo-kovacic,51471,Central Midfield
Naby Keïta,naby-keita,302215,Central Midfield
Rodrigo Bentancur,rodrigo-bentancur,354362,Central Midfield
Dani Ceballos,dani-ceballos,319745,Central Midfield
Lorenzo Pellegrini,lorenzo-pellegrini,286297,Central Midfield
Harry Winks,harry-winks,249126,Central Midfield
Corentin Tolisso,corentin-tolisso,190393,Central Midfield
Piotr Zielinski,piotr-zielinski,181136,Central Midfield
Luis Alberto,luis-alberto,128220,Attacking Midfield
Aaron Ramsey,aaron-ramsey,50057,Central Midfield
Filip Kostic,filip-kostic,161011,Left Midfield
Ryan Sessegnon,ryan-sessegnon,392775,Left Midfield
Jack Grealish,jack-grealish,203460,Attacking Midfield
Tiemoué Bakayoko,tiemoue-bakayoko,182618,Defensive Midfield
Alex Oxlade-Chamberlain,alex-oxlade-chamberlain,143424,Central Midfield
Julian Draxler,julian-draxler,85148,Central Midfield
Jordan Henderson,jordan-henderson,61651,Central Midfield
Paulinho,paulinho,57229,Central Midfield
Ivan Rakitic,ivan-rakitic,32467,Central Midfield
Lucas Paquetá,lucas-paqueta,444523,Attacking Midfield
Adrien Rabiot,adrien-rabiot,182913,Central Midfield
