,Name,Name_tag,ID,Position
477,Kemar Roofe,kemar-roofe,141350,Centre-Forward
478,Raúl Ruidíaz,raul-ruidiaz,129724,Centre-Forward
479,Khouma Babacar,khouma-babacar,124902,Centre-Forward
480,Alan,alan,73460,Centre-Forward
481,Yevhen Konoplianka,yevhen-konoplianka,58949,Left Winger
482,Matías Pellegrini,matias-pellegrini,606267,Left Winger
483,Jack Clarke,jack-clarke,559794,Left Winger
484,Julián Carranza,julian-carranza,491707,Centre-Forward
485,Jérémy Doku,jeremy-doku,486049,Left Winger
486,Brian Rodríguez,brian-rodriguez,465818,Left Winger
487,Jovane Cabral,jovane-cabral,448466,Right Winger
488,Cody Gakpo,cody-gakpo,434675,Left Winger
489,Trincão,trincao,412669,Right Winger
490,Josh Sargent,josh-sargent,393325,Centre-Forward
491,Lincoln,lincoln,372046,Centre-Forward
492,Loïs Openda,lois-openda,368887,Centre-Forward
493,Dusan Vlahovic,dusan-vlahovic,357498,Centre-Forward
494,Jordan Siebatcheu,jordan-siebatcheu,355369,Centre-Forward
495,Habib Diallo,habib-diallo,344888,Centre-Forward
496,Álex Berenguer,alex-berenguer,338425,Left Winger
497,Chiquinho,chiquinho,334557,Second Striker
498,Nicolás Fernández,nicolas-fernandez,333921,Centre-Forward
499,Sebastian Szymanski,sebastian-szymanski,320748,Right Winger
